ARTNO,ARTNAME_UNICODE,SLID_P,SLID_H,MSL,COMPLETE_CAP_INCL_FLEX,SGF_STOCK,MOVED_QTY,FULL_PALLET,OPEN_PICK_QTY
00152282,INGOLF stool white,301100,301100,1,48,40,40,1,0
50496649,R�SKOG trolley 35x45x78 yellow,301600,301600,1,24,21,21,1,0
90333976,R�SKOG trolley 35x45x78 black,302100,302100,1,30,84,21,1,0
60179434,MULIG clothes rack 99x152 white,310500,310500,1,99,693,99,1,2
80480393,BRUSALI N shoe cab 3comp 61x30x130 white,310600,310600,1,16,0,14,1,0
10530259,BISSA N shoe cab 3comp 49x28x135 white,312100,312100,2,44,0,22,1,0
30069762,OMAR bttle shlf 46x36x94 galvanised,312210,312210,1,30,0,27,1,0
80483075,OMAR shlvng ut w 3 bskts 92x36x94 galvanised,312310,312310,2,17,0,15,1,0
70516552,ODGER chr red,321800,321800,2,12,16,8,1,0
90441607,EKEDALEN chr black/Ramna light grey GB,322500,322500,1,16,64,16,1,0
00405859,NORDMYRA chr oak,324010,324010,2,18,0,14,1,0
30498418,STIG bar stool/backr 63 black/black,342000,342000,1,72,0,68,1,8
00360988,ID�SEN ufrm f tbl top 146x67x76 beige,342900,342900,1,15,0,12,1,1
60460838,VEBJ�RN desk 140x60 beige,343300,343300,1,10,0,8,1,0
90391853,DUVHOLMEN inner seat cshn 62x62 outdoor off-whi GB,350000,350000,2,27,63,9,1,0
80318165,IVAR NNN shelf 83x50 pine,350300,350300,2,237,100,100,1,4
80287809,HEJNE shelf 77x47 cm 2 pack softwood,350600,350600,2,80,0,40,1,2
53755809,IVAR side ut 50x124,370300,370300,2,40,0,34,1,0
10333287,BROR post 190 black 4-p,370610,370610,1,57,0,44,1,0
70228325,RES� child picnic tbl light brown stained,SF1711,SF1711,1,22,0,18,1,0
90313092,"FALHOLMEN table, out 153x73 light brown stained",SF1711,SF1711,1,14,0,12,1,0
90420577,"BONDHOLMEN table, out 108 grey",SF1711,SF1711,1,10,0,8,1,0
70234185,"SKARP� N armchr, out white",SF1712,SF1712,1,36,0,12,1,0
70234185,"SKARP� N armchr, out white",SF1712,SF1712,1,36,0,12,1,0
70234185,"SKARP� N armchr, out white",SF1712,SF1712,1,36,0,12,1,0
80336466,"KROKHOLMEN coffee table, out 73 beige",SF1712,SF1712,1,20,0,16,1,0
10255307,FEJAN chair out foldable white,SF1715,SF1715,1,67,0,58,1,0
20468855,GUNN�N gazebo 238x233 dark grey/grey,SF1717,SF1717,1,34,0,24,1,0
50260284,BAGG�N parasol hang 250 white,SF1717,SF1717,1,14,0,12,1,0
31212944,TEST item,310101,310101,1,14,0,12,1,07
90365180,MAMMUT N children's table 85 in/outdoor blue,291700,291700,1,20,0,18,1,0

